Date,Description,Original Description,Amount,Transaction Type,Category,Account Name,Labels,Notes
6/1/2018,Directpay Full Balance,DIRECTPAY FULL BALANCE,30.97,credit,Credit Card Payment,Discover,,
5/31/2018,Buxfer Ca,PAYPAL *BUXFER 402-935-7733 CA,59.88,debit,Gift,Discover,,
5/31/2018,McDonald's,MCDONALD'S F20374 ST.CHARLES MO,7.98,debit,Fast Food,Discover,,
5/27/2018,Amazon,AMAZONPRIME MEMBERSHIP AMZN.COM/PRMEWA6PRH5GVVRKP,104.89,debit,Shopping,Discover,,
5/24/2018,Transfer from Checking Account,DIRECTPAY FULL BALANCE,450.88,credit,Credit Card Payment,Discover,,
5/21/2018,QuikTrip,QT 619 SAINT PETERS MO,39.39,debit,Gas & Fuel,Discover,,
5/20/2018,Walgreens,WALGREENS #3687 SAINT PETERS MO,12.7,debit,Pharmacy,Discover,,
5/20/2018,Netflix,NETFLIX.COM NETFLIX.COM CANETFLIX.COM,10.99,debit,Television,Discover,,
5/20/2018,Pasta House,PASTA HOUSE ST PETERS SAINT PETERS MO,32.43,debit,Restaurants,Discover,,
5/18/2018,Conoco,CONOCO COUNTRY STORE CODY WY,24.72,debit,Gas & Fuel,Discover,,
5/18/2018,Libations Cody Wy,LIBATIONS CODY WY,6.8,debit,Alcohol & Bars,Discover,,
5/18/2018,Wendy's,WENDY'S 15016 CODY WY,13.43,debit,Fast Food,Discover,,
5/17/2018,Exxon,EXXONMOBIL CODY WY,36.13,debit,Gas & Fuel,Discover,,
5/16/2018,Automatic Thank You,AUTOMATIC PAYMENT - THANK YOU,7.31,credit,Credit Card Payment,XXX-XXX9-252,,
5/16/2018,Google Storage,GOOGLE *GOOGLE STORAGE 855-836-3987 CAP0ILMUED,9.99,debit,Internet,Discover,,
5/15/2018,Cenex Zip Trip,CENEX-ZIP TRIP #60 BUFFALO WY,21.2,debit,Gas & Fuel,Discover,,
5/15/2018,Exxon,EXXONMOBIL RAPID CITY SD,20.48,debit,Gas & Fuel,Discover,,
5/13/2018,Google,GOOGLE *GOOGLE MUSIC 855-836-3987 CAP0IJE3WV,9.99,debit,Advertising,Discover,,
5/5/2018,Bee Garden Cen,SQ *THE BEE GARDEN CEN SAINT CHARLESMO000230584301,22.08,debit,Restaurants,Discover,,
5/5/2018,QuikTrip,QT 660 ST CHARLES MO,36.71,debit,Gas & Fuel,Discover,,
5/1/2018,Directpay Full Balance,DIRECTPAY FULL BALANCE,30.97,credit,Credit Card Payment,Discover,,
4/30/2018,Huck's Food & Fuel,HUCK'S FOOD & FUEL STORE ST. PETERS MO,37.2,debit,Gas & Fuel,Discover,,
4/25/2018,Amazon,AMAZON.COM AMZN.COM/BILLWA6BUWQRNJMJT,28.65,debit,Shopping,Discover,,
4/24/2018,Transfer from Checking Account,DIRECTPAY FULL BALANCE,290.54,credit,Credit Card Payment,Discover,,
4/20/2018,Netflix,NETFLIX.COM NETFLIX.COM CANETFLIX.COM,10.99,debit,Television,Discover,,
4/16/2018,Google Storage,GOOGLE *GOOGLE STORAGE 855-836-3987 CAP0IO8XJF,9.99,debit,Internet,Discover,,
4/15/2018,Red Lobster,RED LOBSTER 0181 ST PETERS MO,96,debit,Restaurants,Discover,,
4/13/2018,Target,TARGET SAINT PETERS MO,30,debit,Home,Discover,,
4/13/2018,Schnucks,SCHNUCKS COTTLEVILLE SAINT PETERS MO,58.86,debit,Groceries,Discover,,
4/12/2018,Google,GOOGLE *GOOGLE MUSIC 855-836-3987 CAP0ILOPQ2,9.99,debit,Advertising,Discover,,
4/10/2018,Dirt Cheap Inc,DIRT CHEAP 11 SAINT CHARLESMO,18.54,debit,Alcohol & Bars,Discover,,
4/10/2018,Schnucks,SCHNUCKS HARVESTER ST. PETERS MO,49.44,debit,Groceries,Discover,,
4/9/2018,McDonald's,MCDONALD'S F20374 ST.CHARLES MO,5.6,debit,Fast Food,Discover,,
4/7/2018,QuikTrip,QT 619 SAINT PETERS MO,33.28,debit,Gas & Fuel,Discover,,
4/7/2018,QuikTrip,QT 619 SAINT PETERS MO,10.53,debit,Gas & Fuel,Discover,,
4/7/2018,Longhorn St St,LONGHORN ST00052183397 ST PETERS MO,62.09,debit,Restaurants,Discover,,
4/2/2018,Dirt Cheap Inc,DIRT CHEAP 11 SAINT CHARLESMO,20.69,debit,Alcohol & Bars,Discover,,
4/1/2018,Sonic,SONIC DRIVE IN #4993 ST CHARLES MO,6.19,debit,Fast Food,Discover,,
4/1/2018,Krispy Kreme,KRISPY KREME #1427 COTTLEVILLE MO,18.43,debit,Coffee Shops,Discover,,
4/1/2018,Directpay Full Balance,DIRECTPAY FULL BALANCE,52.48,credit,Credit Card Payment,Discover,,
3/30/2018,St Peters,PURCHASE AT ST PETERS STORE,7.31,debit,Clothing,XXX-XXX9-252,,
3/30/2018,Dirt Cheap Inc,DIRT CHEAP 11 SAINT CHARLESMO,4.37,debit,Alcohol & Bars,Discover,,
3/30/2018,Dirt Cheap Inc,DIRT CHEAP 11 SAINT CHARLESMO,34.16,debit,Alcohol & Bars,Discover,,
3/24/2018,Transfer from Checking Account,DIRECTPAY FULL BALANCE,143.98,credit,Credit Card Payment,Discover,,
3/23/2018,QuikTrip,QT 619 SAINT PETERS MO,28.96,debit,Gas & Fuel,Discover,,
3/20/2018,Netflix,NETFLIX.COM NETFLIX.COM CANETFLIX.COM,10.99,debit,Television,Discover,,
3/16/2018,Google Storage,GOOGLE *GOOGLE STORAGE 855-836-3987 CAP0HYNKHK,9.99,debit,Internet,Discover,,
3/16/2018,QuikTrip,QT 619 SAINT PETERS MO,26.76,debit,Gas & Fuel,Discover,,
3/15/2018,McDonald's,MCDONALD'S F20374 ST.CHARLES MO,4.63,debit,Fast Food,Discover,,
3/13/2018,Google,GOOGLE *GOOGLE MUSIC 855-836-3987 CAP0HW02XG,9.99,debit,Advertising,Discover,,
3/8/2018,QuikTrip,QT 619 SAINT PETERS MO,27.8,debit,Gas & Fuel,Discover,,
3/8/2018,QuikTrip,QT 619 SAINT PETERS MO,2.1,debit,Gas & Fuel,Discover,,
3/7/2018,QuikTrip,QT 660 ST CHARLES MO,36.23,debit,Gas & Fuel,Discover,,
3/7/2018,Lonas Lil Eats,LONAS LIL EATS SAINT LOUIS MO,50,debit,Restaurants,Discover,,
3/6/2018,Wal-Mart,WAL-MART SC - #0648 SAINT PETERS MO,13.32,debit,Shopping,Discover,,
3/1/2018,Petromart,PETROMART 67 SAINT CHARLESMO,31.67,debit,Gas & Fuel,Discover,,
3/1/2018,McDonald's,MCDONALD'S F20374 ST.CHARLES MO,5.92,debit,Fast Food,Discover,,
3/1/2018,Directpay Full Balance,DIRECTPAY FULL BALANCE,297.53,credit,Credit Card Payment,Discover,,
2/24/2018,Amazon,AMAZON MKTPLACE PMTS AMZN.COM/BILLWA6OQ5VP61KV4,32.99,debit,Shopping,Discover,,
2/24/2018,Transfer from Checking Account,DIRECTPAY FULL BALANCE,167.12,credit,Credit Card Payment,Discover,,
2/23/2018,Amazon,AMAZON.COM AMZN.COM/BILLWA2K9RU9W7EJS,2.44,debit,Shopping,Discover,,
2/23/2018,Amazon,AMAZON.COM AMZN.COM/BILLWA6Q542OOZBTL,19.07,debit,Shopping,Discover,,
2/21/2018,QuikTrip,QT 619 SAINT PETERS MO,26.16,debit,Gas & Fuel,Discover,,
2/20/2018,Netflix,NETFLIX.COM NETFLIX.COM CANETFLIX.COM,10.99,debit,Television,Discover,,
2/16/2018,Google Storage,GOOGLE *GOOGLE STORAGE 855-836-3987 CAP0HASICO,9.99,debit,Internet,Discover,,
2/13/2018,Google,GOOGLE *GOOGLE MUSIC 855-836-3987 CAP0HXM1PM,9.99,debit,Advertising,Discover,,
2/9/2018,Schnucks,SCHNUCKS COTTLEVILLE SAINT PETERS MO,44.87,debit,Groceries,Discover,,
2/7/2018,QuikTrip,QT 619 SAINT PETERS MO,27.46,debit,Gas & Fuel,Discover,,
2/6/2018,QuikTrip,QT 604 SAINT PETERS MO,12.5,debit,Gas & Fuel,Discover,,
2/1/2018,Transfer from Checking Account,DIRECTPAY FULL BALANCE,94.39,credit,Credit Card Payment,Discover,,
1/31/2018,QuikTrip,QT 619 SAINT PETERS MO,33.05,debit,Gas & Fuel,Discover,,
1/27/2018,AT&T,AT&T *PAYMENT 800-288-2020 TXWDLF5QL7EPAYX0C,64.42,debit,Internet,Discover,,
1/26/2018,McDonald's,MCDONALD'S F20374 ST.CHARLES MO,3.11,debit,Fast Food,Discover,,
1/24/2018,Transfer from Checking Account,DIRECTPAY FULL BALANCE,493.34,credit,Credit Card Payment,Discover,,
1/23/2018,QuikTrip,QT 619 SAINT PETERS MO,32.78,debit,Gas & Fuel,Discover,,
1/23/2018,Dierberg's,Dierberg's,72.76,debit,Groceries,Cash,,
1/20/2018,Netflix,NETFLIX.COM NETFLIX.COM CANETFLIX.COM,9.99,debit,Television,Discover,,
1/19/2018,Target,TARGET SAINT PETERS MO,42.37,debit,Home,Discover,,
1/18/2018,Schnucks,SCHNUCKS COTTLEVILLE SAINT PETERS MO,135.19,debit,Groceries,Discover,,
1/18/2018,Duckett Creek Sanitary District,DUCKETT CREEK SANITARY D 636-4411244 MO,67.95,debit,Utilities,Discover,,
1/16/2018,Arby's,ARBY'S 7985 SAINT CHARLESMO,8.34,debit,Fast Food,Discover,,
1/16/2018,Google Storage,GOOGLE *GOOGLE STORAGE 855-836-3987 CAP0HBK1RG,9.99,debit,Internet,Discover,,
1/14/2018,Dirt Cheap Inc,DIRT CHEAP 11 SAINT CHARLESMO,22.5,debit,Alcohol & Bars,Discover,,
1/12/2018,Google,GOOGLE *GOOGLE MUSIC 855-836-3987 CAP0H8CYWM,9.99,debit,Advertising,Discover,,
1/4/2018,Amazon,AMAZON MKTPLACE PMTS AMZN.COM/BILLWA6Z2WEGJ6BR4,24.97,debit,Shopping,Discover,,
1/1/2018,Transfer from Checking Account,DIRECTPAY FULL BALANCE,189.32,credit,Credit Card Payment,Discover,,
12/27/2017,AT&T,AT&T *PAYMENT 800-288-2020 TXD96C5PL7EPAYS0C,64.42,debit,Internet,Discover,,
12/24/2017,Directpay Full Balance,DIRECTPAY FULL BALANCE,488.06,credit,Credit Card Payment,Discover,,
12/22/2017,Amazon,AMAZON MKTPLACE PMTS AMZN.COM/BILLWA5NZO45ZQWKQ,25,debit,Shopping,Discover,,
12/21/2017,Schnucks,SCHNUCKS COTTLEVILLE SAINT PETERS MO,41.87,debit,Groceries,Discover,,
12/20/2017,Netflix,NETFLIX.COM NETFLIX.COM CANETFLIX.COM,9.99,debit,Television,Discover,,
12/20/2017,Amazon,AMAZON MKTPLACE PMTS AMZN.COM/BILLWA6BS3ODAFNIG,21.99,debit,Shopping,Discover,,
12/20/2017,Automatic Thank,AUTOMATIC PAYMENT - THANK,31.51,credit,Credit Card Payment,CREDIT CARD,,
12/19/2017,Dirt Cheap Inc,DIRT CHEAP 11 SAINT CHARLESMO,20.65,debit,Alcohol & Bars,Discover,,
12/19/2017,Amazon,AMAZON MKTPLACE PMTS AMZN.COM/BILLWA6ROLZTDGCW2,12.9,debit,Shopping,Discover,,
12/19/2017,QuikTrip,QT 619 SAINT PETERS MO,4.27,debit,Gas & Fuel,Discover,,
12/18/2017,McDonald's,MCDONALD'S F20374 ST.CHARLES MO,6.47,debit,Fast Food,Discover,,
12/18/2017,Amazon,AMAZON MKTPLACE PMTS AMZN.COM/BILLWA3529IEER4CP,56.35,debit,Shopping,Discover,,
12/18/2017,Amazon,AMAZON MKTPLACE PMTS AMZN.COM/BILLWA3TRGAFFCJAM,31.77,debit,Shopping,Discover,,
12/16/2017,Google Storage,GOOGLE *GOOGLE STORAGE 855-836-3987 CAP0GK9NJH,9.99,debit,Internet,Discover,,
12/15/2017,Circle K,CIRCLE K 1683 BONNE TERRE MO,33.27,debit,Gas & Fuel,Discover,,
12/13/2017,Google,GOOGLE *GOOGLE MUSIC 855-836-3987 CAP0GHBYLK,9.99,debit,Advertising,Discover,,
12/13/2017,Amazon,AMAZON MKTPLACE PMTS AMZN.COM/BILLWA4EV5DAM35EW,14.99,debit,Shopping,Discover,,
12/13/2017,Amazon,AMAZON MKTPLACE PMTS AMZN.COM/BILLWA54PYF16KK8Y,164.86,debit,Shopping,Discover,,
12/13/2017,Amazon,AMAZON MKTPLACE PMTS AMZN.COM/BILLWA15VRUR8LHH5,52.96,debit,Shopping,Discover,,
12/11/2017,Amazon,AMAZON MKTPLACE PMTS AMZN.COM/BILLWA6GXNE1OXJ3E,5.99,debit,Shopping,Discover,,
12/3/2017,Target,TARGET SAINT PETERS MO,21.57,debit,Home,Discover,,
12/1/2017,Directpay Full Balance,DIRECTPAY FULL BALANCE,167.62,credit,Credit Card Payment,Discover,,
11/29/2017,Raspberry Pi Cap,GOOGLE *RASPBERRY PI 855-836-3987 CAP0GWG7KC,29.45,debit,Electronics & Software,Discover,,
11/29/2017,Youtube Videos G,GOOGLE *YOUTUBE VIDEOS G.CO/HELPPAY#CAP0GXSRIK,1.99,debit,Movies & DVDs,Discover,,
11/29/2017,Amazon,AMAZON MKTPLACE PMTS AMZN.COM/BILLWA14JBMF34KO3,27.34,debit,Shopping,Discover,,
11/27/2017,AT&T,AT&T *PAYMENT 800-288-2020 TXW7SQ5NM7EPAYO0C,64.42,debit,Internet,Discover,,
11/27/2017,Amazon,AMAZON MKTPLACE PMTS,93.26,debit,Shopping,CREDIT CARD,,
11/26/2017,Dirt Cheap Inc,DIRT CHEAP 11 SAINT CHARLESMO,19.02,debit,Alcohol & Bars,Discover,,
11/26/2017,Amazon,AMAZON.COM AMZN.COM/BILLWA50CED9HKB15,9.94,debit,Shopping,Discover,,
11/26/2017,Amazon,AMAZON MKTPLACE PMTS AMZN.COM/BILLWA77U8S0RRUB6,36.48,debit,Shopping,Discover,,
11/25/2017,Google Play,GOOGLE *GOOGLE PLAY G.CO/HELPPAY#CAP0GTZRRF,4.99,debit,Entertainment,Discover,,
11/25/2017,QuikTrip,QT 619 SAINT PETERS MO,22.75,debit,Gas & Fuel,Discover,,
11/25/2017,Wendy's,WENDY'S 719 SAINT PETERS MO,10.76,debit,Fast Food,Discover,,
11/24/2017,Directpay Full Balance,DIRECTPAY FULL BALANCE,161.2,credit,Credit Card Payment,Discover,,
11/20/2017,Netflix,NETFLIX.COM NETFLIX.COM CANETFLIX.COM,9.99,debit,Television,Discover,,
11/20/2017,Transfer from Checking Account,AUTOMATIC PAYMENT - THANK,198.95,credit,Credit Card Payment,CREDIT CARD,,
11/18/2017,QuikTrip,QT 619 SAINT PETERS MO,22.22,debit,Alcohol & Bars,Discover,,
11/17/2017,QuikTrip,QT 619 SAINT PETERS MO,35.77,debit,Alcohol & Bars,Discover,,
11/16/2017,Google Storage,GOOGLE *GOOGLE STORAGE 855-836-3987 CAP0GMAMMK,9.99,debit,Internet,Discover,,
11/12/2017,Google,GOOGLE *GOOGLE MUSIC 855-836-3987 CAP0GJXTZF,9.99,debit,Internet,Discover,,
11/11/2017,Anydo Ltd Cap,GOOGLE *ANYDO LTD 855-836-3987 CAP0GHZZAD,26.99,debit,Electronics & Software,Discover,,
11/5/2017,Amazon,AMAZON MKTPLACE PMTS AMZN.COM/BILLWA4D20LTQWJL5,291.98,debit,Gift,Discover,,
11/3/2017,Dirt Cheap Inc,DIRT CHEAP 11 SAINT CHARLESMO,21.74,debit,Alcohol & Bars,Discover,,
11/1/2017,Menard,MENARDS ST. PETERS MO ST. PETERS MO,89.77,debit,Pet Food & Supplies,Discover,,
11/1/2017,Directpay Full Balance,DIRECTPAY FULL BALANCE,302.98,credit,Credit Card Payment,Discover,,
11/1/2017,Target,TARGET SAINT PETERS MO,13.02,debit,Shopping,Discover,,
10/31/2017,Dirt Cheap Inc,DIRT CHEAP 11 SAINT CHARLESMO,16.9,debit,Alcohol & Bars,Discover,,
10/31/2017,Dierberg's,DIERBERGS 94 CROSSING ST PETERS MO,15.5,debit,Groceries,Discover,,
10/31/2017,Dirt Cheap Inc,DIRT CHEAP 11 SAINT CHARLESMO,10.87,debit,Alcohol & Bars,Discover,,
10/30/2017,Aldi,ALDI 41046 ST PETERS MO,15.14,debit,Groceries,Discover,,
10/30/2017,QuikTrip,QT 619        06006191,31.51,debit,GasStation Snack/Bev,CREDIT CARD,,
10/27/2017,AT&T,AT&T *PAYMENT 800-288-2020 TXFP285MM7EPAYK0C,64.42,debit,Internet,Discover,,
10/23/2017,QuikTrip,QT 619        06006191,28.38,debit,Gas & Fuel,CREDIT CARD,,
10/20/2017,Netflix,NETFLIX.COM NETFLIX.COM CANETFLIX.COM,9.99,debit,Television,Discover,,
10/20/2017,Automatic Thank,AUTOMATIC PAYMENT - THANK,136.25,credit,Credit Card Payment,CREDIT CARD,,
10/18/2017,Duckett Creek Sanitary District,DUCKETT CREEK SANITARY D 636-4411244 MO,65.25,debit,Utilities,Discover,,
10/16/2017,Amazon Kindle,AMAZON SERVICES-KINDLE 866-321-8851 WAWDJ6QPW0Q75,7.98,debit,Books,Discover,,
10/16/2017,Google Storage,GOOGLE *GOOGLE STORAGE 855-836-3987 CAP0FZ2KAQ,9.99,debit,Internet,Discover,,
10/15/2017,Southwest Airlines,SOUTHWESTAIR*INFLIGHT,5,debit,Vacation,CREDIT CARD,,
10/13/2017,Google,GOOGLE *GOOGLE MUSIC 855-836-3987 CAP0FW1EIC,9.99,debit,Internet,Discover,,
10/12/2017,Wal-Mart,WAL-MART #3013,70.8,debit,Vacation,CREDIT CARD,,
10/10/2017,Home Depot,THE HOME DEPOT #3022,4.39,debit,Home Improvement,CREDIT CARD,,
10/8/2017,Jimmy John's,JIMMY JOHNS - 1386 - ECO SAINT PETERS MO,25.02,debit,Restaurants,Discover,,
10/8/2017,Amazon,AMAZON.COM AMZN.COM/BILLWA2QFPMXVZW6I,13.76,debit,Shopping,Discover,,
10/8/2017,Captain D's,CAPTAIN DS 33300033332,24.49,debit,Fast Food,CREDIT CARD,,
10/6/2017,Phillips 66,PHILLIPS 66 - DIRT CHEAP,23.43,debit,Gas & Fuel,CREDIT CARD,,
10/6/2017,Phillips 66,PHILLIPS 66 - DIRT CHEAP,8.95,debit,Alcohol & Bars,CREDIT CARD,,
10/1/2017,Directpay Full Balance,DIRECTPAY FULL BALANCE,737.11,credit,Credit Card Payment,Discover,,
9/27/2017,AT&T,AT&T *PAYMENT 800-288-2020 TX3Y1R5LN7EPAYG0C,64.42,debit,Internet,Discover,,
9/26/2017,Dirt Cheap Inc,DIRT CHEAP 11 SAINT CHARLESMO,22.07,debit,Alcohol & Bars,Discover,,
9/26/2017,McDonald's,MCDONALD'S F20374 ST.CHARLES MO,9.05,debit,Fast Food,Discover,,
9/26/2017,Jack in the Box,JACK IN THE BOX 4098 SAINT PETERS MO02654B,10.05,debit,Fast Food,Discover,,
9/26/2017,Amazon,AMAZON MKTPLACE PMTS,33.51,debit,Shopping,CREDIT CARD,,
9/25/2017,Amazon,AMAZON MKTPLACE PMTS AMZN.COM/BILLWA44LIYCI7YG0,3.48,debit,Shopping,Discover,,
9/22/2017,Amazon,AMAZON MKTPLACE PMTS,61.45,debit,Shopping,CREDIT CARD,,
9/20/2017,Netflix,NETFLIX.COM NETFLIX.COM CANETFLIX.COM,9.99,debit,Television,Discover,,
9/20/2017,Automatic Thank,AUTOMATIC PAYMENT - THANK,100.54,credit,Credit Card Payment,CREDIT CARD,,
9/19/2017,Dirt Cheap Inc,DIRT CHEAP 11 SAINT CHARLESMO,34.59,debit,Alcohol & Bars,Discover,,
9/18/2017,Jimmy John's,JIMMY JOHNS # 1107 - MARYLAND HEIGMO,6.4,debit,Fast Food,Discover,,
9/16/2017,Steak 'n Shake,STEAK-N-SHAKE#0256 Q99 ST PETERS MO,14.64,debit,Restaurants,Discover,,
9/16/2017,Google Storage,GOOGLE *GOOGLE STORAGE 855-836-3987 CAP0FCMOIC,9.99,debit,Internet,Discover,,
9/15/2017,Third Wheel Restaraunt,THIRD WHEEL RESTARAUNT SAINT PETERS MO,21.35,debit,Restaurants,Discover,,
9/15/2017,McDonald's,MCDONALD'S F7136 ST. LOUIS MO,6.22,debit,Fast Food,Discover,,
9/14/2017,Arby's,ARBY'S 7985 SAINT CHARLESMO,7.46,debit,Fast Food,Discover,,
9/13/2017,McDonald's,MCDONALD'S F7136 ST. LOUIS MO,4.51,debit,Fast Food,Discover,,
9/13/2017,Google,GOOGLE *GOOGLE MUSIC 855-836-3987 CAP0FAIHFM,9.99,debit,Advertising,Discover,,
9/12/2017,Alltrails Com Cap,GOOGLE *ALLTRAILS COM 855-836-3987 CAP0FZYX1F,29.99,debit,Entertainment,Discover,,
9/8/2017,Subway,SUBWAY 00250068255 SAINT LOUIS MO,6.63,debit,Fast Food,Discover,,
9/6/2017,Jimmy John's,JIMMY JOHNS # 1270 SAINT LOUIS MO,5.45,debit,Restaurants,Discover,,
9/5/2017,Dirt Cheap Inc,DIRT CHEAP 11 SAINT CHARLESMO,38.85,debit,Gas & Fuel,Discover,,
9/5/2017,Dirt Cheap Inc,DIRT CHEAP 11 SAINT CHARLESMO,9.47,debit,Alcohol & Bars,Discover,,
9/4/2017,QuikTrip,QT 619 SAINT PETERS MO,12.33,debit,Alcohol & Bars,Discover,,
9/4/2017,Saver's,SAVERS - 1225 ST. CHARLES MO00465B,66.45,debit,Shopping,Discover,,
9/2/2017,Dierberg's,DIERBERGS 94 CROSSING ST PETERS MO,38.93,debit,Groceries,Discover,,
9/1/2017,Taco Bell,TACO BELL #28495 MARYLAND HEIGMO,4.29,debit,Fast Food,Discover,,
9/1/2017,Directpay Full Balance,DIRECTPAY FULL BALANCE,802.24,credit,Credit Card Payment,Discover,,
9/1/2017,Amazon,AMAZON MKTPLACE PMTS,69.82,debit,Shopping,CREDIT CARD,,
8/31/2017,McDonald's,MCDONALD'S F7136 ST. LOUIS MO,7.63,debit,Fast Food,Discover,,
8/31/2017,Soulard Gyro & Deli,SQ *SOULARD GYRO AND D ST LOUIS MO0001152921507733,13.21,debit,Fast Food,Discover,,
8/31/2017,Amazon,AMAZON MKTPLACE PMTS,4.98,debit,Shopping,CREDIT CARD,,
8/30/2017,La Carreta,LA CARRETA MEXICAN SAINT CHARLESMO,45.38,debit,Groceries,Discover,,
8/29/2017,Jack in the Box,JACK IN THE BOX 4098 SAINT PETERS MO02909B,8.76,debit,Fast Food,Discover,,
8/28/2017,AT&T,AT&T *PAYMENT 800-288-2020 TX184K5KN7EPAYB0C,64.42,debit,Internet,Discover,,
8/28/2017,Dirt Cheap Inc,DIRT CHEAP 11 SAINT CHARLESMO,38.35,debit,Alcohol & Bars,Discover,,
8/27/2017,Ham N' Egg Restaurant,HAM N EGG RESTAURANT ST PETERS MO,26.99,debit,Restaurants,Discover,,
8/25/2017,QuikTrip,QT 619 SAINT PETERS MO,12.93,debit,Gas & Fuel,Discover,,
8/25/2017,Llywelyn Pub St,LLYWELYN S PUB ST. CHARL ST. CHARLES MO,16.25,debit,Alcohol & Bars,Discover,,
8/25/2017,Llywelyn Pub St,LLYWELYN S PUB ST. CHARL ST. CHARLES MO,52.13,debit,Alcohol & Bars,Discover,,
8/24/2017,Taco Bell,TACO BELL #029673 SAINT PETERS MO,5.73,debit,Fast Food,Discover,,
8/23/2017,QuikTrip,QT 622 SAINT LOUIS MO,7.69,debit,Gas & Fuel,Discover,,
8/22/2017,McDonald's,MCDONALD'S F20374 ST.CHARLES MO,1.62,debit,Fast Food,Discover,,
8/21/2017,QuikTrip,QT 619 SAINT PETERS MO,9.01,debit,Gas & Fuel,Discover,,
8/20/2017,Netflix,NETFLIX.COM NETFLIX.COM CANETFLIX.COM,9.99,debit,Television,Discover,,
8/20/2017,Automatic Thank,AUTOMATIC PAYMENT - THANK,90.51,credit,Credit Card Payment,CREDIT CARD,,
8/19/2017,Sunisa Thai Restaurant,SUNISA S THAI RESTAURANT SAINT CHARLESMO,31.04,debit,Restaurants,Discover,,
8/18/2017,McDonald's,MCDONALD'S F7136 ST. LOUIS MO,6.98,debit,Fast Food,Discover,,
8/18/2017,Dirt Cheap Inc,DIRT CHEAP 11 SAINT CHARLESMO,16.93,debit,Alcohol & Bars,Discover,,
8/17/2017,QuikTrip,QT 619 SAINT PETERS MO,5.4,debit,Gas & Fuel,Discover,,
8/17/2017,Google Storage,GOOGLE *GOOGLE STORAGE 855-836-3987 CAP0FFCKLI,9.99,debit,Internet,Discover,,
8/16/2017,McDonald's,MCDONALD'S F20374 ST.CHARLES MO,1.62,debit,Fast Food,Discover,,
8/15/2017,Jimmy John's,JIMMY JOHNS # 1107 MARYLAND HEIGMO,6.4,debit,Restaurants,Discover,,
8/14/2017,Taco Bell,TACO BELL #029653 SAINT PETERS MO,3.01,debit,Fast Food,Discover,,
8/14/2017,Dirt Cheap Inc,DIRT CHEAP 11 SAINT CHARLESMO,25.93,debit,Gas & Fuel,Discover,,
8/14/2017,Dirt Cheap Inc,DIRT CHEAP 11 SAINT CHARLESMO,11.64,debit,Alcohol & Bars,Discover,,
8/13/2017,Duckett Creek Sanitary District,DUCKETT CREEK SANITARY D 636-4411244 MO,65.25,debit,Utilities,Discover,,
8/13/2017,Google,GOOGLE *GOOGLE MUSIC 855-836-3987 CAP0FBTUWO,9.99,debit,Advertising,Discover,,
8/12/2017,Ripe Juice Lake,SQ *RIPE JUICE CO. LAKE SAINT LOMO0002305843011197,5,debit,Uncategorized,Discover,,
8/12/2017,Yo Salsa,SQ *YO SALSA WENTZVILLE MO0001152921507711477510,8,debit,Restaurants,Discover,,
8/11/2017,Amazon,AMAZON SELLER REPAY AMZN.COM/BILLWAUQJH1N8FFLQ,3.95,debit,Shopping,Discover,,
8/11/2017,Amazon,AMAZON MKTPLACE PMTS AMZN.COM/BILLWA2KKG8RQ9FOU,23.49,debit,Shopping,Discover,,
8/11/2017,Amazon,AMAZON MKTPLACE PMTS,84.96,debit,Shopping,CREDIT CARD,,
8/11/2017,Amazon,AMAZON MKTPLACE PMTS,8.6,debit,Shopping,CREDIT CARD,,
8/10/2017,Amazon,AMAZON MKTPLACE PMTS AMZN.COM/BILLWA2N1TMGFMGQW,7.99,debit,Shopping,Discover,,
8/10/2017,Amazon,AMAZON MKTPLACE PMTS,6.98,debit,Shopping,CREDIT CARD,,
8/9/2017,McDonald's,MCDONALD'S F20374 ST.CHARLES MO,1.62,debit,Fast Food,Discover,,
8/8/2017,Jack in the Box,JACK IN THE BOX 4098 SAINT PETERS MO00834B,1.29,debit,Fast Food,Discover,,
8/8/2017,Taco Bell,TACO BELL #029673 SAINT PETERS MO,4.53,debit,Fast Food,Discover,,
8/8/2017,Amazon Kindle,AMAZON SERVICES-KINDLE 866-321-8851 WAW4FSBSRAD4M,3.03,debit,Books,Discover,,
8/6/2017,Taco Bell,TACO BELL #27906 JEFFERSON CITMO,8.62,debit,Fast Food,Discover,,
8/6/2017,Minit Mart,MINIT MART 1 LAKE OZARK MO,15.96,debit,Gas & Fuel,Discover,,
8/3/2017,Dirt Cheap Inc,DIRT CHEAP 11 SAINT CHARLESMO,18.94,debit,Alcohol & Bars,Discover,,
8/1/2017,O'Fallon Brewery LLC,O'FALLON BREWERY MARYLAND HEIGMO,38.18,debit,Business Services,Discover,,
8/1/2017,First Watch Restaurants Inc.,FIRST WATCH RESTAURANTS SAINT PETERS MO,32.16,debit,Restaurants,Discover,,
8/1/2017,Transfer from Checking Account,DIRECTPAY FULL BALANCE,982.7,credit,Credit Card Payment,Discover,,
7/31/2017,McDonald's,MCDONALD'S F20374 ST.CHARLES MO,5.59,debit,Fast Food,Discover,,
7/31/2017,Amazon,AMAZON MKTPLACE PMTS AMZN.COM/BILLWAUJGQ2B3PHYA,208.98,debit,Shopping,Discover,,
